actual_category,canonical_category
Abandonment/Isolation,Abandonment/Isolation
Abandonment/Neglect,Abandonment/Neglect
Absorbed/Distracted,Absorbed/Distracted
Absorption/Deep Focus,Absorption/Deep Focus
Abuse/Victimization,Abuse/Victimization
Acceptance/Patience,Acceptance/Patience
Acceptance/Surrender,Acceptance/Surrender
Accepting/Submissive,Accepting/Submissive
Accountable/Reliable,Accountable/Reliable
Accusation/Responsibility,Accusation/Responsibility
Achievement/Self-Worth,Achievement/Self-Worth
Achieving/Accomplished,Achieving/Accomplished
Acknowledged/Appreciated,Acknowledged/Appreciated
Acknowledged/Recognized,Acknowledged/Recognized
Acknowledged/Understood,Acknowledged/Understood
Act of Refusing/Dismissal,Act of Refusing/Dismissal
Activation/Excitement,Activation/Excitement
Activity/Engagement,Activity/Engagement
Adaptability/Openness,Adaptability/Openness
Adaptable/Flexible,Adaptable/Flexible
Adequacy/Neutrality,Adequacy/Neutrality
Admiration/Appreciation,Admiration/Appreciation
Aesthetic Appreciation/Attractiveness,Aesthetic Appreciation/Attractiveness
Affection Given/Caring,Affection Given/Caring
Affection/Acceptance,Affection/Acceptance
Affection/Appeal,Affection/Appeal
Affection/Preciousness,Affection/Preciousness
Affection/Warmth,Affection/Warmth
Afflicted/Distressed,Afflicted/Distressed
Aggressive Antagonism/Opposition,Aggressive Antagonism/Opposition
Aggressive Opposition/Animosity,Aggressive Opposition/Animosity
Aggressively Demanding/Forceful,Aggressively Demanding/Forceful
Agitated/Excited,Agitated/Excited
Agitation/Unease,Agitation/Unease
Agreeable/Enjoyable,Agreeable/Enjoyable
Alarm/Distress,Alarm/Distress
Alcoholic/Intoxicating,Alcoholic/Intoxicating
Alertness/Vigilance,Alertness/Vigilance
Alone/Isolated,Alone/Isolated
Amazed/Astounded,Amazed/Astounded
Amazed/Delighted,Amazed/Delighted
Amazed/Impressed,Amazed/Impressed
Amazed/Overwhelmed,Amazed/Overwhelmed
Amazed/Reverent,Amazed/Reverent
Anger/Annoyance,Anger/Annoyance
Anger/Assertion,Anger/Assertion
Anger/Bitterness,Anger/Bitterness
Anger/Frustration,Anger/Frustration
Anger/Fury,Anger/Fury
Anger/Hostility,Anger/Hostility
Anger/Intensity,Anger/Intensity
Anger/Irritability,Anger/Irritability
Anger/Irritation,Anger/Irritation
Anger/Rage,Anger/Rage
"Anger/Rage (Provisional: overlaps with Sadness/Grief, Fear/Anxiety)","Anger/Rage (Provisional: overlaps with Sadness/Grief, Fear/Anxiety)"
Angry/Furious,Angry/Furious
Annoyance/Agitation,Annoyance/Agitation
Annoyed/Frustrated,Annoyed/Frustrated
Anticipation/Enthusiasm,Anticipation/Enthusiasm
Anticipation/Readiness,Anticipation/Readiness
Anxiety/Apprehension,Anxiety/Apprehension
