word,category,etymology_summary,date
ABHORRED,Disgust/Aversion,"**Category**: Disgust/Aversion  
**Precision Level**: HIGH  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: RECOMMENDED",
ABHORRED,Disgust/Aversion,"**Category**: Disgust/Aversion  
**Precision Level**: HIGH  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: RECOMMENDED",2025-11-13T16:27:20.597529
ABOMINABLE,Disgust/Aversion,"**Category**: Disgust/Aversion  
**Precision Level**: HIGH  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: REQUIRED",
ABOMINABLE,Disgust/Aversion,"**Category**: Disgust/Aversion  
**Precision Level**: HIGH  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: REQUIRED",2025-11-13T16:27:20.597529
ABSORBED,Curiosity/Interest,"**Category**: Curiosity/Interest  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: YES  
**Cultural Bridge Integration**: RECOMMENDED",
ABSORBED,Curiosity/Interest,"**Category**: Curiosity/Interest  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: YES  
**Cultural Bridge Integration**: RECOMMENDED",2025-11-13T16:27:20.597529
ABUSED,"Anger/Rage (Provisional: overlaps with Sadness/Grief, Fear/Anxiety)","**Category**: Anger/Rage (Provisional: overlaps with Sadness/Grief, Fear/Anxiety)  
**Precision Level**: CRITICAL  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: YES  
**C",
ABUSED,"Anger/Rage (Provisional: overlaps with Sadness/Grief, Fear/Anxiety)","**Category**: Anger/Rage (Provisional: overlaps with Sadness/Grief, Fear/Anxiety)  
**Precision Level**: CRITICAL  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: YES  
**C",2025-11-13T16:27:20.597529
ACCEPTED,Love/Affection (Provisional: overlaps with Satisfaction/Contentment),"**Category**: Love/Affection (Provisional: overlaps with Satisfaction/Contentment)  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cul",
ACCEPTED,Love/Affection (Provisional: overlaps with Satisfaction/Contentment),"**Category**: Love/Affection (Provisional: overlaps with Satisfaction/Contentment)  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cul",2025-11-13T16:27:20.597529
