word,letter,category,precision_level,etymology_summary,title,content,somatic_integration,title,content,temporal_translation,title,content,cultural_bridge,title,content,last_updated,hash_value
ABHORRED,A,Disgust/Aversion,HIGH,"**Category**: Disgust/Aversion  
**Precision Level**: HIGH  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: RECOMMENDED",,,YES,,,NO,,,RECOMMENDED,,,2025-11-13T16:27:20.597529,c3f89828764d19f6
ABHORRED,,Disgust/Aversion,HIGH,"**Category**: Disgust/Aversion  
**Precision Level**: HIGH  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: RECOMMENDED",,,,,,,,,,,,,
ABOMINABLE,A,Disgust/Aversion,HIGH,"**Category**: Disgust/Aversion  
**Precision Level**: HIGH  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: REQUIRED",,,YES,,,NO,,,REQUIRED,,,2025-11-13T16:27:20.597529,51bf9df62c1aaed1
ABOMINABLE,,Disgust/Aversion,HIGH,"**Category**: Disgust/Aversion  
**Precision Level**: HIGH  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: REQUIRED",,,,,,,,,,,,,
ABSORBED,A,Curiosity/Interest,MEDIUM,"**Category**: Curiosity/Interest  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: YES  
**Cultural Bridge Integration**: RECOMMENDED",,,YES,,,YES,,,RECOMMENDED,,,2025-11-13T16:27:20.597529,45212a700a154235
ABSORBED,,Curiosity/Interest,MEDIUM,"**Category**: Curiosity/Interest  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: YES  
**Cultural Bridge Integration**: RECOMMENDED",,,,,,,,,,,,,
ABUSED,A,"Anger/Rage (Provisional: overlaps with Sadness/Grief, Fear/Anxiety)",CRITICAL,"**Category**: Anger/Rage (Provisional: overlaps with Sadness/Grief, Fear/Anxiety)  
**Precision Level**: CRITICAL  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: YES  
**C",,,YES,,,YES,,,REQUIRED,,,2025-11-13T16:27:20.597529,31059eca778acbff
ABUSED,,"Anger/Rage (Provisional: overlaps with Sadness/Grief, Fear/Anxiety)",CRITICAL,"**Category**: Anger/Rage (Provisional: overlaps with Sadness/Grief, Fear/Anxiety)  
**Precision Level**: CRITICAL  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: YES  
**C",,,,,,,,,,,,,
ACCEPTED,A,Love/Affection (Provisional: overlaps with Satisfaction/Contentment),MEDIUM,"**Category**: Love/Affection (Provisional: overlaps with Satisfaction/Contentment)  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cul",,,YES,,,NO,,,RECOMMENDED,,,2025-11-13T16:27:20.597529,2928ad384c9a2408
ACCEPTED,,Love/Affection (Provisional: overlaps with Satisfaction/Contentment),MEDIUM,"**Category**: Love/Affection (Provisional: overlaps with Satisfaction/Contentment)  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cul",,,,,,,,,,,,,
ACHING,A,Sadness/Grief (Provisional: overlaps with Physical discomfort),MEDIUM,"**Category**: Sadness/Grief (Provisional: overlaps with Physical discomfort)  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural ",,,YES,,,NO,,,RECOMMENDED,,,2025-11-13T16:27:20.597529,2c62617004ef9d65
ACHING,,Sadness/Grief (Provisional: overlaps with Physical discomfort),MEDIUM,"**Category**: Sadness/Grief (Provisional: overlaps with Physical discomfort)  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural ",,,,,,,,,,,,,
ADMIRATION,A,Love/Affection (Provisional: overlaps with Awe/Reverence),MEDIUM,"**Category**: Love/Affection (Provisional: overlaps with Awe/Reverence)  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridg",,,YES,,,NO,,,RECOMMENDED,,,2025-11-13T16:27:20.597529,8769c9abef3313b1
ADMIRATION,,Love/Affection (Provisional: overlaps with Awe/Reverence),MEDIUM,"**Category**: Love/Affection (Provisional: overlaps with Awe/Reverence)  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridg",,,,,,,,,,,,,
ADMIRED,A,Pride/Confidence (Provisional: overlaps with Love/Affection received),MEDIUM,"**Category**: Pride/Confidence (Provisional: overlaps with Love/Affection received)  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cu",,,YES,,,NO,,,RECOMMENDED,,,2025-11-13T16:27:20.597529,9e40e5c7612c39d1
ADMIRED,,Pride/Confidence (Provisional: overlaps with Love/Affection received),MEDIUM,"**Category**: Pride/Confidence (Provisional: overlaps with Love/Affection received)  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cu",,,,,,,,,,,,,
ADORATION,A,Love/Affection,HIGH,"**Category**: Love/Affection  
**Precision Level**: HIGH  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: REQUIRED",,,YES,,,NO,,,REQUIRED,,,2025-11-13T16:27:20.597529,4c59fd5872dc1647
ADORATION,,Love/Affection,HIGH,"**Category**: Love/Affection  
**Precision Level**: HIGH  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: REQUIRED",,,,,,,,,,,,,
ADORE,A,Love/Affection,MEDIUM,"**Category**: Love/Affection  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: RECOMMENDED",,,YES,,,NO,,,RECOMMENDED,,,2025-11-13T16:27:20.597529,3f5a78a1b5afc5e7
ADORE,,Love/Affection,MEDIUM,"**Category**: Love/Affection  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: RECOMMENDED",,,,,,,,,,,,,
AFFECTED,A,Emotional (General emotional impact),MEDIUM,"**Category**: Emotional (General emotional impact)  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: YES  
**Cultural Bridge Integration**: REC",,,YES,,,YES,,,RECOMMENDED,,,2025-11-13T16:27:20.597529,10796ea22e04367a
AFFECTED,,Emotional (General emotional impact),MEDIUM,"**Category**: Emotional (General emotional impact)  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: YES  
**Cultural Bridge Integration**: REC",,,,,,,,,,,,,
AFFECTION,A,Love/Affection,MEDIUM,"**Category**: Love/Affection  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: RECOMMENDED",,,YES,,,NO,,,RECOMMENDED,,,2025-11-13T16:27:20.597529,27d61a4fe559a79b
AFFECTION,,Love/Affection,MEDIUM,"**Category**: Love/Affection  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: RECOMMENDED",,,,,,,,,,,,,
AFFECTIONATE,A,Love/Affection,MEDIUM,"**Category**: Love/Affection  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: RECOMMENDED",,,YES,,,NO,,,RECOMMENDED,,,2025-11-13T16:27:20.597529,22d7c6d6b2a7f50e
AFFECTIONATE,,Love/Affection,MEDIUM,"**Category**: Love/Affection  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: RECOMMENDED",,,,,,,,,,,,,
AFFLICTED,A,Sadness/Grief (Provisional: overlaps with Suffering/Distress),HIGH,"**Category**: Sadness/Grief (Provisional: overlaps with Suffering/Distress)  
**Precision Level**: HIGH  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: YES  
**Cultural Br",,,YES,,,YES,,,REQUIRED,,,2025-11-13T16:27:20.597529,9d38c05978c723cc
AFFLICTED,,Sadness/Grief (Provisional: overlaps with Suffering/Distress),HIGH,"**Category**: Sadness/Grief (Provisional: overlaps with Suffering/Distress)  
**Precision Level**: HIGH  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: YES  
**Cultural Br",,,,,,,,,,,,,
AFIRE,A,"Excitement/Enthusiasm (Provisional: overlaps with Anger/Rage, Passion)",HIGH,"**Category**: Excitement/Enthusiasm (Provisional: overlaps with Anger/Rage, Passion)  
**Precision Level**: HIGH  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: YES  
**Cu",,,YES,,,YES,,,REQUIRED,,,2025-11-13T16:27:20.597529,26e2e938bfd6ae16
AFIRE,,"Excitement/Enthusiasm (Provisional: overlaps with Anger/Rage, Passion)",HIGH,"**Category**: Excitement/Enthusiasm (Provisional: overlaps with Anger/Rage, Passion)  
**Precision Level**: HIGH  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: YES  
**Cu",,,,,,,,,,,,,
AFRAID,A,Fear/Anxiety,HIGH,"**Category**: Fear/Anxiety  
**Precision Level**: HIGH  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: REQUIRED",,,YES,,,NO,,,REQUIRED,,,2025-11-13T16:27:20.597529,8961c0cff7fbcb74
AFRAID,,Fear/Anxiety,HIGH,"**Category**: Fear/Anxiety  
**Precision Level**: HIGH  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: REQUIRED",,,,,,,,,,,,,
AGGRAVATED,A,Anger/Frustration,MEDIUM,"**Category**: Anger/Frustration  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: RECOMMENDED",,,YES,,,NO,,,RECOMMENDED,,,2025-11-13T16:27:20.597529,3ab619791f2aa8ca
