word,letter,category,precision_level,etymology_summary,content,somatic_integration,temporal_translation,cultural_bridge,filepath,last_updated,hash_value
ABHORRED,A,Disgust/Aversion,HIGH,"**Category**: Disgust/Aversion  
**Precision Level**: HIGH  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: RECOMMENDED",,YES,NO,RECOMMENDED,,2025-11-13T16:27:20.597529,c3f89828764d19f6
ABHORRED,A,Disgust/Aversion,HIGH,"**Category**: Disgust/Aversion  
**Precision Level**: HIGH  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: RECOMMENDED",,YES,NO,RECOMMENDED,,2025-11-13T16:27:20.597529,c3f89828764d19f6
ABOMINABLE,A,Disgust/Aversion,HIGH,"**Category**: Disgust/Aversion  
**Precision Level**: HIGH  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: REQUIRED",,YES,NO,REQUIRED,,2025-11-13T16:27:20.597529,51bf9df62c1aaed1
ABOMINABLE,A,Disgust/Aversion,HIGH,"**Category**: Disgust/Aversion  
**Precision Level**: HIGH  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural Bridge Integration**: REQUIRED",,YES,NO,REQUIRED,,2025-11-13T16:27:20.597529,51bf9df62c1aaed1
ABSORBED,A,Curiosity/Interest,MEDIUM,"**Category**: Curiosity/Interest  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: YES  
**Cultural Bridge Integration**: RECOMMENDED",,YES,YES,RECOMMENDED,,2025-11-13T16:27:20.597529,45212a700a154235
ABSORBED,A,Curiosity/Interest,MEDIUM,"**Category**: Curiosity/Interest  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: YES  
**Cultural Bridge Integration**: RECOMMENDED",,YES,YES,RECOMMENDED,,2025-11-13T16:27:20.597529,45212a700a154235
ABUSED,A,"Anger/Rage (Provisional: overlaps with Sadness/Grief, Fear/Anxiety)",CRITICAL,"**Category**: Anger/Rage (Provisional: overlaps with Sadness/Grief, Fear/Anxiety)  
**Precision Level**: CRITICAL  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: YES  
**C",,YES,YES,REQUIRED,,2025-11-13T16:27:20.597529,31059eca778acbff
ABUSED,A,"Anger/Rage (Provisional: overlaps with Sadness/Grief, Fear/Anxiety)",CRITICAL,"**Category**: Anger/Rage (Provisional: overlaps with Sadness/Grief, Fear/Anxiety)  
**Precision Level**: CRITICAL  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: YES  
**C",,YES,YES,REQUIRED,,2025-11-13T16:27:20.597529,31059eca778acbff
ACCEPTED,A,Love/Affection (Provisional: overlaps with Satisfaction/Contentment),MEDIUM,"**Category**: Love/Affection (Provisional: overlaps with Satisfaction/Contentment)  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cul",,YES,NO,RECOMMENDED,,2025-11-13T16:27:20.597529,2928ad384c9a2408
ACCEPTED,A,Love/Affection (Provisional: overlaps with Satisfaction/Contentment),MEDIUM,"**Category**: Love/Affection (Provisional: overlaps with Satisfaction/Contentment)  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cul",,YES,NO,RECOMMENDED,,2025-11-13T16:27:20.597529,2928ad384c9a2408
ACHING,A,Sadness/Grief (Provisional: overlaps with Physical discomfort),MEDIUM,"**Category**: Sadness/Grief (Provisional: overlaps with Physical discomfort)  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural ",,YES,NO,RECOMMENDED,,2025-11-13T16:27:20.597529,2c62617004ef9d65
ACHING,A,Sadness/Grief (Provisional: overlaps with Physical discomfort),MEDIUM,"**Category**: Sadness/Grief (Provisional: overlaps with Physical discomfort)  
**Precision Level**: MEDIUM  
**Somatic Integration Required**: YES  
**Temporal Translation Required**: NO  
**Cultural ",,YES,NO,RECOMMENDED,,2025-11-13T16:27:20.597529,2c62617004ef9d65
